date,open,high,low,adjClose,value,volume,count,close
2020-08-25,25000.0,25000.0,25000.0,25000.0,282407225000,11296289,10322,25000.0
2020-08-26,25297.0,26250.0,24000.0,25846.0,431441719183,16692940,66815,26250.0
2020-08-31,25890.0,26690.0,24554.0,25402.0,72991005297,2873446,9506,24554.0
2020-09-01,24132.0,24132.0,24132.0,24132.0,2545395096,105478,58,24132.0
2020-09-02,22926.0,22926.0,22926.0,22926.0,1166130990,50865,53,22926.0
2020-09-05,21820.0,23390.0,21780.0,22014.0,310348263260,14097837,56505,22420.0
2020-09-06,22400.0,22700.0,20914.0,21561.0,125682869440,5829310,25989,20920.0
2020-09-07,20513.0,20800.0,20483.0,20484.0,100832281560,4922423,13711,20483.0
2020-09-08,19460.0,19460.0,19460.0,19460.0,3763447240,193394,138,19460.0
2020-09-09,19300.0,20433.0,19001.0,20276.0,100323514637,4947910,21940,20433.0
2020-09-12,21289.0,21289.0,20000.0,20764.0,92126374208,4436850,12061,20513.0
2020-09-13,20100.0,20400.0,19726.0,19828.0,36502116236,1840932,5248,19726.0
2020-09-14,19263.0,20350.0,18890.0,19775.0,56534924382,2858912,13588,20100.0
2020-09-15,20000.0,20690.0,19999.0,20294.0,58001891033,2858087,11399,20430.0
2020-09-16,20700.0,20700.0,19280.0,19592.0,98933245630,5049736,18131,19600.0
2020-09-19,19000.0,19600.0,18613.0,18931.0,60882375946,3215982,21378,19270.0
2020-09-20,18730.0,18890.0,18110.0,18384.0,65948192625,3587173,18891,18340.0
2020-09-21,18304.0,19299.0,18100.0,18832.0,53302002391,2830431,7898,19182.0
2020-09-22,18890.0,19773.0,18890.0,19602.0,59395873296,3030130,7449,19773.0
2020-09-23,20300.0,20582.0,19774.0,20483.0,74104090240,3617897,7511,20582.0
2020-09-26,21390.0,21390.0,19923.0,20605.0,37567813113,1823228,7265,20760.0
2020-09-27,20700.0,20700.0,19575.0,19710.0,53766196318,2727905,3947,19575.0
2020-09-28,19120.0,19379.0,18725.0,18764.0,21864378122,1165206,1291,18725.0
2020-09-29,18210.0,19500.0,17850.0,18166.0,84015582333,4624765,6722,18600.0
2020-09-30,18650.0,18910.0,17800.0,18440.0,41829694771,2268456,6273,18600.0
2020-10-03,18610.0,19050.0,18080.0,18483.0,95438309525,5163502,8234,18382.0
2020-10-04,18350.0,18380.0,17559.0,17724.0,73709553381,4158747,6768,17559.0
2020-10-05,17040.0,18490.0,16970.0,17883.0,77177998217,4315605,9254,18000.0
2020-10-07,18700.0,18777.0,18080.0,18542.0,83010726339,4476900,13803,18420.0
2020-10-10,18590.0,18590.0,17860.0,18244.0,42710901769,2341151,7246,18251.0
2020-10-11,18400.0,18780.0,17901.0,18297.0,70289536010,3841669,7906,18112.0
2020-10-12,18112.0,18290.0,17430.0,17901.0,31055123592,1734853,5031,18040.0
2020-10-13,17660.0,18688.0,17650.0,18259.0,38529414840,2110203,5727,18490.0
2020-10-14,18470.0,18540.0,17806.0,18108.0,18113288056,1000278,4006,18200.0
2020-10-18,18300.0,18560.0,17705.0,17832.0,23521077522,1319017,4063,17836.0
2020-10-19,17900.0,17950.0,17460.0,17570.0,27867293064,1586112,2951,17600.0
2020-10-20,17500.0,17980.0,17220.0,17653.0,19162150347,1085465,3183,17965.0
2020-10-21,18213.0,18400.0,17705.0,18048.0,30058222727,1665455,3820,18200.0
2020-10-24,18094.0,18448.0,17646.0,18130.0,38237887491,2109076,3782,18100.0
2020-10-26,18000.0,18000.0,17604.0,17707.0,23671814809,1336832,3871,17635.0
2020-10-27,17707.0,18110.0,17305.0,17526.0,25241019592,1440214,4162,17545.0
2020-10-28,17490.0,18136.0,17490.0,17845.0,23742260425,1330436,3240,17940.0
2020-10-31,18000.0,18600.0,17840.0,18058.0,23141851097,1281503,3775,17870.0
2020-11-01,18020.0,18020.0,17620.0,17716.0,18304994024,1033246,2687,17741.0
2020-11-02,17660.0,18200.0,17520.0,17948.0,30636920348,1707019,3190,18000.0
2020-11-04,17948.0,18500.0,17740.0,18208.0,29706749053,1631508,4222,18320.0
2020-11-07,17840.0,18170.0,17700.0,17845.0,58185339251,3260556,5309,17715.0
2020-11-08,17350.0,17840.0,16953.0,17178.0,83412350370,4855864,10841,17107.0
