date,open,high,low,adjClose,value,volume,count,yesterday,close
2021-01-09,990.0,990.0,990.0,990.0,3795765930,3834107,257,1000.0,990.0
2021-01-10,950.0,950.0,950.0,990.0,615824200,648236,48,990.0,950.0
2021-01-11,950.0,950.0,950.0,990.0,129457450,136271,16,990.0,950.0
2021-01-12,950.0,950.0,950.0,990.0,50888650,53567,7,990.0,950.0
2021-01-13,950.0,950.0,950.0,990.0,195067300,205334,20,990.0,950.0
2021-01-20,950.0,950.0,950.0,990.0,266473100,280498,17,990.0,950.0
2021-01-23,950.0,950.0,950.0,990.0,67459500,71010,6,990.0,950.0
2021-01-24,950.0,950.0,950.0,990.0,39195100,41258,7,990.0,950.0
2021-01-25,950.0,950.0,950.0,990.0,10027250,10555,2,990.0,950.0
2021-01-26,950.0,950.0,950.0,990.0,605852050,637739,40,990.0,950.0
2021-01-27,950.0,950.0,950.0,990.0,209699200,220736,16,990.0,950.0
2021-01-30,950.0,950.0,950.0,990.0,26264650,27647,5,990.0,950.0
2021-01-31,950.0,950.0,950.0,990.0,20235000,21300,3,990.0,950.0
2021-02-01,950.0,950.0,950.0,990.0,15062250,15855,3,990.0,950.0
2021-02-02,950.0,950.0,950.0,990.0,52003000,54740,4,990.0,950.0
2021-02-03,950.0,950.0,950.0,990.0,11875000,12500,3,990.0,950.0
2021-02-07,950.0,970.0,950.0,980.0,26973772880,28354476,652,990.0,960.0
2021-02-08,940.0,970.0,940.0,970.0,16856591380,17733331,441,980.0,940.0
2021-02-09,930.0,1010.0,930.0,970.0,14106300490,14636229,392,970.0,990.0
2021-02-13,970.0,980.0,960.0,970.0,3529075210,3659111,163,970.0,960.0
2021-02-14,960.0,960.0,960.0,970.0,103154880,107453,8,970.0,960.0
2021-02-15,960.0,960.0,960.0,970.0,55974720,58307,8,970.0,960.0
2021-02-16,960.0,960.0,960.0,970.0,91704000,95525,14,970.0,960.0
2021-02-17,960.0,960.0,960.0,970.0,41760000,43500,3,970.0,960.0
2021-02-20,960.0,960.0,960.0,970.0,65549760,68281,5,970.0,960.0
2021-02-21,960.0,960.0,960.0,970.0,69120000,72000,5,970.0,960.0
2021-02-22,960.0,960.0,960.0,970.0,50424960,52526,7,970.0,960.0
2021-02-23,960.0,960.0,960.0,970.0,45269760,47156,5,970.0,960.0
2021-02-24,960.0,960.0,960.0,970.0,32278080,33623,7,970.0,960.0
2021-02-27,960.0,960.0,960.0,970.0,21149760,22031,3,970.0,960.0
2021-03-01,960.0,960.0,960.0,970.0,1664499840,1733854,37,970.0,960.0
2021-03-02,960.0,960.0,960.0,970.0,89065920,92777,9,970.0,960.0
2021-03-03,960.0,960.0,960.0,970.0,10118400,10540,2,970.0,960.0
2021-03-07,960.0,960.0,960.0,970.0,120000000,125000,8,970.0,960.0
2021-03-08,960.0,960.0,960.0,970.0,14726400,15340,2,970.0,960.0
2021-03-09,960.0,960.0,960.0,970.0,7766400,8090,1,970.0,960.0
2021-03-13,960.0,960.0,960.0,970.0,7008000,7300,1,970.0,960.0
2021-03-14,960.0,960.0,960.0,970.0,5181120,5397,2,970.0,960.0
2021-03-15,960.0,960.0,960.0,970.0,5386560,5611,2,970.0,960.0
2021-04-04,960.0,960.0,960.0,970.0,25536000,26600,3,970.0,960.0
2021-04-05,960.0,960.0,960.0,970.0,29769600,31010,4,970.0,960.0
2021-04-06,960.0,960.0,960.0,970.0,5080320,5292,1,970.0,960.0
